Date,Open,High,Low,Close,Volume,Daily_Return,MA_10,MA_30,MA_50,EMA_10,BB_Middle,BB_Upper,BB_Lower,RSI,MACD,Signal_Line,Future_Close,Predicted_Close,Signal,Strategy_Return,Cumulative_PnL
2024-09-11,379.75,381.25,377.0,380.5,117,0.0026350461133068936,381.0,378.81666666666666,386.905,380.8421033289764,376.675,392.7538353859855,360.5961646140145,54.23728813559322,-1.2054703416515622,-3.177338231824468,386.25,385.20248,1,0.0026350461133068936,7.851335618470839
2024-09-12,380.5,387.5,380.5,386.25,123,0.015111695137976389,383.1,378.9333333333333,386.59,381.82535726916245,376.9375,393.4784181633127,360.3965818366873,62.13991769547325,-0.6533451092266205,-2.6725396073048984,390.75,391.0956,1,0.015111695137976389,7.969982608763106
2024-09-13,381.25,394.0,381.0,390.75,229028,0.011650485436893288,385.0,379.225,386.335,383.4480195838602,377.725,395.34220152223054,360.1077984777695,68.69918699186992,0.1456515271088392,-2.108901380422151,410.75,409.27615,1,0.011650485436893288,8.062836775078793
2024-09-16,413.0,413.0,408.5,410.75,150818,0.0511836212412029,388.275,380.03333333333336,386.325,388.4120160231583,379.7375,402.363448657079,357.111551342921,82.17821782178217,2.365427791735158,-1.2140355459906895,412.5,412.9589,1,0.0511836212412029,8.475521958704068
2024-09-17,410.0,413.0,408.5,412.5,123973,0.004260499087035852,390.875,380.7583333333333,386.66,392.7916494734931,381.4625,408.38357128159214,354.5414287184078,81.31487889273356,4.217213437334237,-0.1277857493257042,412.75,411.81137,-1,0.004260499087035852,8.511631912271278
2024-09-18,412.0,415.0,411.0,412.75,134644,0.0006060606060604989,393.1,381.5583333333333,386.91,396.42044047831257,383.35,413.46705234757314,353.2329476524269,83.68794326241135,5.639926254400962,1.025756651419629,405.75,407.82355,-1,-0.0006060606060604989,8.506473347475964
2024-09-19,412.25,413.0,405.25,405.75,166204,-0.01695941853422167,394.675,382.3083333333333,386.96,398.11672402771023,384.8625,416.3278004368327,353.3971995631673,73.94366197183098,6.131910071140965,2.0469873353638963,401.75,402.331,-1,0.01695941853422167,8.650738189226011
2024-09-20,406.0,407.25,401.5,401.75,178231,-0.009858287122612497,396.475,383.0583333333333,386.86,398.7773196590357,386.375,418.0433055901096,354.7066944098904,67.27272727272728,6.128399841280441,2.8632698365472056,413.5,412.19897,1,0.009858287122612497,8.73601965011795
2024-09-23,401.5,414.25,401.25,413.5,228072,0.029247044181704984,399.4,384.28333333333336,387.13,401.4541706301201,388.6625,421.2618521892552,356.06314781074485,68.75,6.993132284081696,3.689242326054104,411.75,412.5536,-1,0.029247044181704984,8.991522402797193
2024-09-24,413.0,418.25,410.0,411.75,210496,-0.004232164449818665,402.625,385.23333333333335,387.555,403.3261396064619,391.15,422.7604579630346,359.5395420369654,65.23297491039426,7.451334257397946,4.441660712322872,415.25,414.74872,1,0.004232164449818665,9.02957600426006
2024-09-25,411.75,415.5,408.5,415.25,158957,0.00850030358227083,406.1,386.48333333333335,387.945,405.4941142234688,393.55,424.8068308324023,362.29316916759774,67.35395189003437,8.004611196521523,5.154250809162603,413.25,413.98438,-1,0.00850030358227083,9.106330141515459
2024-09-26,414.75,419.25,412.5,413.25,204872,-0.004816375677302864,408.8,387.5583333333333,388.25,406.9042752737472,395.95,425.3750162098268,366.5249837901732,71.53284671532847,8.187325479920162,5.760865743314115,418.0,416.56686,1,0.004816375677302864,9.150189648518545
2024-09-27,413.0,419.75,410.75,418.0,218578,0.011494252873563315,411.525,388.9916666666667,388.785,408.92167976942943,398.2625,426.9396846779602,369.5853153220398,73.19587628865979,8.616092220703365,6.331911038791965,424.75,424.96304,1,0.011494252873563315,9.25536424217968
2024-09-30,416.5,427.75,415.5,424.75,272926,0.01614832535885169,412.925,390.8,389.47,411.7995561749877,400.6,429.9367023583832,371.2632976416169,80.2675585284281,9.3922930321923,6.943987437472032,429.0,428.67346,1,0.01614832535885169,9.404822875277079
2024-10-01,423.5,432.5,421.75,429.0,262757,0.010005885815185467,414.575,392.5,390.045,414.9269095977172,402.725,433.8630204218361,371.586979578164,81.08974358974359,10.232424231709842,7.601674796319594,432.5,431.52078,1,0.010005885815185467,9.498926459079145
2024-10-02,428.5,434.25,428.5,432.5,239747,0.008158508158508049,416.55,394.4166666666667,390.645,418.12201694358674,404.825,438.0843872779772,371.5656127220228,80.52805280528052,11.053240137523233,8.291987864560323,428.25,428.5558,-1,0.008158508158508049,9.57642352809261
2024-10-03,431.5,433.25,427.5,428.25,181331,-0.009826589595375745,418.8,396.175,391.135,419.96346840838913,406.7375,440.7968425625141,372.67815743748594,74.83443708609272,11.231335332818276,8.879857358211913,424.75,427.00995,-1,0.009826589595375745,9.670527111894677
2024-10-04,427.5,427.5,423.0,424.75,165354,-0.008172796263864579,421.1,397.95,391.51,420.8337468795911,408.7875,441.9447310919567,375.6302689080433,61.86440677966102,10.963673900837932,9.296620666737118,426.0,423.8779,-1,0.008172796263864579,9.749562359744372
2024-10-07,424.0,427.0,421.25,426.0,161439,0.00294290759270166,422.35,399.89166666666665,392.14,421.77306562875634,410.875,442.7602795602107,378.9897204397893,61.53846153846154,10.728740597709873,9.583044652931669,420.75,421.83685,-1,-0.00294290759270166,9.720870298650363
2024-10-08,426.0,428.0,419.25,420.75,229659,-0.01232394366197187,423.25,401.85,392.63,421.5870536962552,412.9375,441.4339794686374,384.4410205313626,56.29921259842519,10.00360777505722,9.66715727735678,421.0,420.0273,-1,0.01232394366197187,9.840669756556267
2024-10-09,420.25,423.5,420.0,421.0,148815,0.0005941770647652778,423.825,403.64166666666665,393.275,421.4803166605724,414.9625,439.1896460404309,390.73535395956907,63.43612334801762,9.341425560442758,9.602010933973975,418.5,418.0684,-1,-0.0005941770647652778,9.834822656284992
2024-10-10,421.0,424.0,418.0,418.5,171360,-0.005938242280285055,424.35,405.4166666666667,393.99,420.9384409041047,416.575,436.7016385407146,396.44836145928537,65.15837104072398,8.516736639471958,9.384956075073571,415.75,416.7635,-1,0.005938242280285055,9.89322421600165
2024-10-11,418.5,422.75,415.25,415.75,224069,-0.00657108721624855,424.125,406.8833333333333,394.665,419.9950880124493,417.825,433.8948311654298,401.75516883457016,52.43243243243244,7.554182793817006,9.018801418822258,408.25,410.25034,-1,0.00657108721624855,9.958233455174899
2024-10-14,415.0,415.25,407.5,408.25,257782,-0.018039687312086605,422.475,407.89166666666665,395.1,417.8596174647312,417.7,434.0382019239105,401.3617980760895,46.63461538461539,6.115667013958444,8.438174537849495,401.25,401.95392,-1,0.018039687312086605,10.137876872887015
2024-10-15,408.0,408.0,400.5,401.25,305403,-0.017146356399265206,419.7,408.3833333333333,395.31,414.8396870165983,417.1375,434.9386494306924,399.3363505693076,37.38738738738739,4.360525966901605,7.622644823659917,404.75,404.27707,1,0.017146356399265206,10.311704522881403
2024-10-16,401.25,406.75,401.0,404.75,214285,0.008722741433021763,416.925,408.85833333333335,395.63,413.00519846812585,416.7375,435.2971300723442,398.1778699276558,42.54385964912281,3.214925135539147,6.741100886035763,406.75,406.15155,1,0.008722741433021763,10.401650855168219
2024-10-17,404.5,407.5,399.0,406.75,255482,0.004941321803582532,414.775,409.4166666666667,396.1,411.8678896557393,416.7875,435.2274987156396,398.3475012843605,39.63133640552995,2.440281462699147,5.88093700136844,404.75,405.49832,-1,0.004941321803582532,10.453048759332114
2024-10-18,406.75,409.5,403.75,404.75,193538,-0.0049170251997541214,412.775,410.1166666666667,396.61,410.5737279001503,416.9375,434.9052159313777,398.9697840686223,29.797979797979792,1.646013269303694,5.033952254955491,409.5,409.2024,1,0.0049170251997541214,10.50444666349601
2024-10-21,403.75,411.75,403.0,409.5,241760,0.011735639283508403,411.125,410.9583333333333,397.265,410.3785046455775,416.7375,434.9536546291992,398.5213453708009,30.5,1.3838827671357308,4.303938357391538,416.5,415.23758,1,0.011735639283508403,10.627723060411652
2024-10-22,409.0,417.0,408.25,416.5,267224,0.017094017094017033,410.7,412.19166666666666,397.93,411.49150380092703,416.975,435.04059684801183,398.9094031519882,35.04672897196262,1.721143681196338,3.7873794221524975,419.0,419.31497,1,0.017094017094017033,10.809393540076808
2024-10-23,416.0,420.0,414.0,419.0,246005,0.006002400960384069,410.5,413.475,398.755,412.8566849280312,417.1625,435.23055482791017,399.0944451720899,41.06280193236715,2.16519546650079,3.462942631022157,421.5,420.1572,1,0.006002400960384069,10.874275854242935
2024-10-24,418.75,424.0,418.25,421.5,287987,0.005966587112171906,410.8,414.65,399.565,414.4281967592982,417.575,435.6436556165832,399.5063443834168,46.79802955665025,2.6878548941154463,3.307925083640815,415.25,416.86572,-1,0.005966587112171906,10.939158168409064
2024-10-25,420.5,421.0,414.5,415.25,247609,-0.014827995255041526,410.75,415.4666666666666,400.37,414.57761553033487,417.4375,435.53437018596105,399.34062981403895,40.35874439461884,2.5681395750771685,3.159967981928086,410.75,411.15872,-1,0.014827995255041526,11.10136395382438
2024-10-28,413.25,414.75,410.0,410.75,251359,-0.010836845273931361,411.0,415.4666666666666,401.175,413.8816854339103,416.7375,434.7261477359926,398.7488522640074,40.90909090909091,2.0861046148610853,2.9451953085146862,413.75,413.24588,1,0.010836845273931361,11.221667717321575
2024-10-29,410.0,414.75,410.0,413.75,197431,0.0073037127206330155,412.25,415.5083333333333,401.89,413.8577426277448,415.975,433.0444402214863,398.90555977851375,43.72294372294372,1.923984864095076,2.7409532196307644,411.5,413.0387,-1,0.0073037127206330155,11.303627554575293
2024-10-30,413.25,414.25,411.0,411.5,170092,-0.005438066465256797,412.925,415.4666666666666,402.62,413.429062149973,414.925,430.20407065240585,399.6459293475942,43.91304347826088,1.5955550324226238,2.5118735821891365,410.75,411.80164,1,0.005438066465256797,11.36509743251558
2024-10-31,411.5,412.75,409.25,410.75,238814,-0.0018226002430133947,413.325,415.6333333333333,403.325,412.941959940887,414.05,428.0684089494812,400.0315910505189,45.4954954954955,1.2602261895746665,2.2615441036662425,414.5,413.57312,1,-0.0018226002430133947,11.344383403173206
2024-11-01,410.75,415.75,410.5,414.5,197406,0.00912964090079127,414.3,416.0583333333333,404.185,413.2252399516348,413.5375,426.6275474447755,400.4474525552246,56.03864734299517,1.282287908829801,2.065692864698954,416.5,415.96887,1,0.00912964090079127,11.447953549885073
2024-11-04,414.0,420.0,413.0,416.5,219138,0.004825090470446325,415.0,416.15833333333336,405.16,413.8206508695194,413.0625,424.8756004442725,401.2493995557275,66.31016042780749,1.444503923530192,1.9414550764652017,418.5,419.2587,1,0.004825090470446325,11.503190961464735
